Feature,Ranking,Support
state,3,False
account_length,2,False
area_code,4,False
international_plan,5,False
voice_mail_plan,5,False
total_day_minutes,4,False
total_day_calls,3,False
total_eve_minutes,2,False
total_eve_calls,3,False
total_night_minutes,4,False
total_night_calls,4,False
total_intl_minutes,1,True
total_intl_calls,2,False
number_customer_service_calls,1,True
churn,5,False
state_category,5,False
account_length_category,4,False
international_plan_indicator,1,True
voice_mail_plan_indicator,3,False
has_voice_mail_messages,2,False
total_call_charges,4,False
total_call_minutes,2,False
average_call_duration,4,False
call_density_day,1,True
call_density_evening,3,False
call_density_night,3,False
call_density_intl,4,False
service_calls_category,1,True
total_evening_call_charges,2,False
day_night_call_ratio,2,False
call_charges_per_minute,3,False
avg_charges_per_service_call,3,False
call_density_area_code,5,False
call_density_state,5,False
total_calls_per_account_length,3,False
average_charges_per_state,1,True
average_minutes_per_area_code,1,True
call_duration_per_vmail_messages,3,False
total_calls_per_service_calls,3,False
total_charges_per_service_calls,2,False
avg_charges_per_service_calls,4,False
calls_minus_vmail_messages,4,False
avg_charges_per_state_area,5,False
avg_minutes_per_state_area,5,False
average_charges_per_account_length,5,False
average_minutes_per_account_length,5,False
total_charges_per_international_plan,4,False
total_calls_per_voice_mail_plan,3,False
total_charges_per_voice_mail_plan,3,False
total_minutes_per_service_calls,4,False
day_charge_ratio,4,False
evening_charge_ratio,5,False
night_charge_ratio,4,False
intl_charge_ratio,3,False
avg_duration_per_day_calls,1,True
avg_duration_per_evening_calls,2,False
avg_duration_per_night_calls,2,False
charges_per_total_calls,2,False
night_calls_ratio,4,False
intl_calls_ratio,4,False
vmail_messages_to_minutes_ratio,5,False
day_evening_minutes_difference,5,False
night_intl_minutes_difference,2,False
minutes_per_charges_per_state,1,True
percentage_international_plan_per_state,2,False
percentage_voice_mail_plan_per_state,1,True
day_evening_minutes_difference_per_state,5,False
charges_per_minutes_per_international_plan,2,False
avg_minutes_per_service_calls_per_state,4,False
charges_per_minutes_per_plan,2,False
day_evening_minutes_difference_per_area_code,1,True
charges_per_minutes_per_intl_plan_state,2,False
eve_day_minutes_ratio,3,False
night_day_charges_difference,2,False
minutes_per_charges_per_vmail_plan,2,False
charges_per_minutes_per_vmail_plan,3,False
minutes_per_charges_per_state_vmail_plan,3,False
day_night_minutes_difference_per_state,3,False
eve_intl_minutes_difference_per_state,3,False
eve_night_charges_ratio,4,False
eve_night_calls_difference,5,False
intl_night_calls_difference,5,False
avg_minutes_per_total_intl_minutes,5,False
avg_charges_per_total_intl_minutes,4,False
eve_night_charges_ratio_per_area_code,3,False
day_night_charges_ratio_per_intl_plan,2,False
eve_night_minutes_difference_per_intl_plan,4,False
day_minutes_calls_ratio,4,False
intl_minutes_calls_ratio,3,False
night_intl_charges_difference,2,False
charge_per_minutes,3,False
day_minutes_percentage,3,False
eve_minutes_percentage,3,False
night_minutes_percentage,4,False
intl_minutes_percentage,1,True
sqrt_minutes_per_charges_per_state_vmail_plan,4,False
avg_call_duration_per_area_code_squared,2,False
eve_intl_charges_difference_per_vmail_plan_squared,5,False
log_charges_service_calls_ratio,2,False
avg_call_duration_per_intl_vmail_squared,5,False
minutes_per_charges_per_state_squared,4,False
charges_per_minutes_per_area_code_squared,5,False
charge_intl_calls_ratio_squared,5,False
call_density_area_code_squared,5,False
log_call_density_night,4,False
avg_duration_per_evening_calls_squared,1,True
sqrt_avg_duration_per_evening_calls,4,False
avg_minutes_per_vmail_messages_squared,2,False
inv_avg_minutes_per_vmail_messages,1,True
sqrt_avg_charges_per_service_call,2,False
log_eve_intl_minutes_difference_per_vmail_plan,5,False
sqrt_eve_intl_minutes_difference_per_vmail_plan,5,False
log_charges_per_service_calls,2,False
avg_charges_per_total_day_calls_squared,4,False
log_call_duration_per_service_call,3,False
sqrt_call_duration_per_service_call,5,False
inv_call_duration_per_service_call,4,False
intl_service_calls_percentage_squared,1,True
average_minutes_per_intl_calls_squared,5,False
log_avg_call_duration_per_vmail_messages,5,False
charge_per_account_length_squared,1,True
avg_call_duration_per_intl_calls_squared,5,False
avg_call_duration_per_service_calls_squared,3,False
charges_per_minutes_per_vmail_plan_squared,3,False
log_charges_per_minutes_per_vmail_plan,2,False
sqrt_call_duration_per_vmail_messages,4,False
log_call_density_intl,2,False
inv_call_density_intl,3,False
avg_minutes_per_service_calls_per_state_squared,3,False
average_minutes_per_account_length_squared,1,True
day_night_minutes_ratio_squared,5,False
sqrt_charges_per_minutes_per_state_area_code,3,False
inv_charges_per_minutes_per_state_area_code,5,False
total_call_charges_squared,4,False
inv_eve_night_charges_difference_per_intl_plan,1,True
inv_charge_per_vmail_messages,2,False
average_minutes_per_night_calls_squared,2,False
average_charges_per_account_length_squared,2,False
