Feature Size,Accuracy,Features,Best Features,Best Parameters
5,0.9911019849418207,"['avg_charges_per_service_call', 'avg_minutes_per_service_calls_per_state_squared', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
7,0.9911019849418207,"['voice_mail_plan', 'total_call_charges', 'avg_charges_per_service_call', 'avg_minutes_per_service_calls_per_state_squared', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
9,0.9911019849418207,"['voice_mail_plan', 'total_call_charges', 'avg_charges_per_service_call', 'avg_minutes_per_service_calls_per_state_squared', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
11,0.9911019849418207,"['voice_mail_plan', 'total_intl_minutes', 'total_call_charges', 'avg_charges_per_service_call', 'avg_minutes_per_service_calls_per_state_squared', 'avg_charges_per_service_calls_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
13,0.9911019849418207,"['voice_mail_plan', 'total_intl_minutes', 'number_customer_service_calls', 'total_call_charges', 'avg_charges_per_service_call', 'intl_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'avg_charges_per_service_calls_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'avg_minutes_per_vmail_messages_per_state_squared']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
15,0.9911019849418207,"['voice_mail_plan', 'total_intl_minutes', 'number_customer_service_calls', 'total_call_charges', 'avg_charges_per_service_call', 'intl_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'avg_charges_per_service_calls_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'avg_minutes_per_vmail_messages_per_state_squared']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
17,0.9911019849418207,"['voice_mail_plan', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'avg_charges_per_service_call', 'intl_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'avg_charges_per_service_calls_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
19,0.9911019849418207,"['voice_mail_plan', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'avg_charges_per_service_call', 'night_calls_ratio', 'intl_calls_ratio', 'night_intl_minutes_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'avg_charges_per_service_calls_squared', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
21,0.9911019849418207,"['voice_mail_plan', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'avg_charges_per_service_call', 'night_calls_ratio', 'intl_calls_ratio', 'night_intl_minutes_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'avg_charges_per_service_calls_squared', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
23,0.9911019849418207,"['voice_mail_plan', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'night_intl_minutes_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']","['account_length', 'voice_mail_plan', 'total_night_minutes', 'total_intl_minutes', 'total_intl_calls', 'number_customer_service_calls', 'total_call_charges', 'total_evening_call_charges', 'day_night_call_ratio', 'avg_charges_per_service_call', 'avg_charges_per_state_area', 'avg_minutes_per_state_area', 'night_calls_ratio', 'intl_calls_ratio', 'charges_per_minutes_per_area_code', 'avg_charges_per_intl_calls', 'night_intl_minutes_ratio', 'eve_minutes_calls_ratio', 'avg_minutes_per_service_calls_per_state_squared', 'total_eve_minutes_squared', 'avg_charges_per_service_calls_squared', 'sqrt_avg_charges_per_vmail_message', 'call_density_intl_squared', 'log_call_density_intl', 'sqrt_charges_per_minutes_per_intl_plan_state', 'inv_charges_per_minutes_per_intl_plan_state', 'sqrt_total_call_charges', 'sqrt_avg_call_duration_per_area_code', 'sqrt_eve_intl_minutes_difference_per_vmail_plan', 'avg_minutes_per_vmail_messages_per_state_squared', 'eve_intl_charges_difference_per_vmail_plan_squared']",
