Feature,Ranking,Support
state,6,False
account_length,1,True
area_code,14,False
international_plan,13,False
voice_mail_plan,1,True
total_day_minutes,10,False
total_day_calls,7,False
total_eve_minutes,9,False
total_eve_calls,6,False
total_night_minutes,1,True
total_night_calls,4,False
total_intl_minutes,1,True
total_intl_calls,1,True
number_customer_service_calls,1,True
total_call_charges,1,True
total_evening_call_charges,1,True
day_night_call_ratio,1,True
avg_charges_per_service_call,1,True
average_charges_per_state,8,False
calls_minus_vmail_messages,4,False
avg_charges_per_state_area,1,True
avg_minutes_per_state_area,1,True
average_charges_per_account_length,7,False
average_minutes_per_account_length,2,False
charges_per_total_calls,3,False
night_calls_ratio,1,True
intl_calls_ratio,1,True
day_evening_minutes_difference,3,False
night_intl_minutes_difference,5,False
charges_per_minutes_per_area_code,1,True
intl_day_charges_ratio,12,False
eve_intl_minutes_ratio,5,False
avg_charges_per_intl_calls,1,True
night_intl_minutes_ratio,1,True
day_intl_charges_ratio,12,False
day_night_charges_difference_per_state,3,False
eve_night_minutes_ratio_per_area_code,13,False
avg_charges_per_total_day_calls,10,False
day_night_minutes_ratio_per_intl_plan,13,False
eve_night_minutes_difference_per_intl_plan,9,False
eve_minutes_calls_ratio,1,True
day_intl_charges_difference,5,False
day_service_calls_percentage,7,False
avg_call_duration_per_service_calls_squared,8,False
percentage_voice_mail_plan_per_state_squared,14,False
avg_minutes_per_service_calls_per_state_squared,1,True
total_eve_minutes_squared,1,True
avg_charges_per_service_calls_squared,1,True
sqrt_intl_day_charges_ratio,12,False
sqrt_avg_charges_per_vmail_message,1,True
eve_intl_charges_ratio_per_state_intl_plan_squared,4,False
call_density_intl_squared,1,True
log_call_density_intl,1,True
sqrt_charges_per_day_calls,6,False
sqrt_charges_per_minutes_per_intl_plan_state,1,True
inv_charges_per_minutes_per_intl_plan_state,1,True
sqrt_avg_charges_per_total_day_calls,2,False
sqrt_total_call_charges,1,True
sqrt_avg_call_duration_per_area_code,1,True
eve_day_charges_ratio_squared,10,False
avg_call_duration_per_state_area_squared,9,False
charges_per_evening_calls_squared,8,False
sqrt_eve_intl_minutes_difference_per_vmail_plan,1,True
avg_minutes_per_vmail_messages_per_state_squared,1,True
eve_intl_charges_difference_per_vmail_plan_squared,1,True
charges_per_minutes_per_vmail_plan_squared,14,False
log_call_duration_per_service_call,11,False
sqrt_call_duration_per_service_call,2,False
inv_call_duration_per_service_call,11,False
night_day_charges_difference_per_intl_plan_squared,11,False
