state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
IN,65,area_code_415,no,no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,yes
NY,161,area_code_415,no,no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,yes
CO,77,area_code_408,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,yes
AZ,12,area_code_408,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,yes
MD,135,area_code_408,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,yes
CO,121,area_code_408,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,yes
TX,150,area_code_510,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,yes
DC,82,area_code_415,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,yes
NY,144,area_code_408,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,yes
IN,94,area_code_408,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,yes
NJ,128,area_code_415,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,yes
LA,155,area_code_415,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,yes
MS,120,area_code_408,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,yes
ID,77,area_code_415,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,yes
ME,36,area_code_510,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,yes
NV,74,area_code_415,no,no,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,yes
MS,162,area_code_415,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,yes
MS,61,area_code_510,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,yes
VT,117,area_code_408,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,yes
OH,83,area_code_415,no,no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,yes
AK,126,area_code_415,no,no,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,yes
TX,208,area_code_510,no,no,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,yes
ME,131,area_code_510,yes,yes,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,yes
MD,93,area_code_408,yes,no,0,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0,yes
MN,139,area_code_510,no,no,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,yes
NV,137,area_code_415,yes,no,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,yes
OR,33,area_code_415,no,yes,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,yes
KS,92,area_code_408,yes,no,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,yes
SD,144,area_code_408,no,yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,yes
OK,89,area_code_510,no,no,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,yes
FL,127,area_code_415,no,no,0,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,yes
VT,113,area_code_415,no,no,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,yes
IN,122,area_code_408,no,no,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,yes
MN,62,area_code_415,no,no,0,248.7,109,42.28,220.0,118,18.7,265.7,78,11.96,13.2,2,3.56,1,yes
MT,54,area_code_415,no,no,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,yes
AL,86,area_code_415,no,no,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,yes
GA,89,area_code_415,no,no,0,213.0,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1,yes
MS,64,area_code_408,yes,no,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,yes
CO,159,area_code_408,yes,no,0,257.1,53,43.71,312.2,127,26.54,183.0,82,8.24,8.8,6,2.38,1,yes
CA,151,area_code_415,yes,no,0,218.0,57,37.06,114.4,88,9.72,269.2,95,12.11,12.4,1,3.35,0,yes
MO,95,area_code_415,yes,no,0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1,yes
WI,16,area_code_510,no,no,0,229.6,78,39.03,205.7,108,17.48,166.2,91,7.48,10.8,2,2.92,0,yes
DC,66,area_code_415,no,no,0,167.3,91,28.44,230.0,68,19.55,191.7,118,8.63,10.6,5,2.86,1,yes
DE,122,area_code_510,no,no,0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4,yes
DE,224,area_code_510,yes,no,0,171.5,99,29.16,160.0,103,13.6,212.4,102,9.56,5.0,2,1.35,1,yes
KS,46,area_code_510,no,no,0,250.3,100,42.55,260.6,90,22.15,195.0,104,8.78,13.3,2,3.59,2,yes
OH,100,area_code_510,no,no,0,278.0,76,47.26,176.7,74,15.02,219.5,126,9.88,8.3,4,2.24,0,yes
OH,97,area_code_408,no,no,0,256.4,125,43.59,273.9,100,23.28,222.7,101,10.02,11.1,1,3.0,1,yes
MA,88,area_code_415,no,no,0,264.8,124,45.02,245.4,112,20.86,160.5,115,7.22,14.8,2,4.0,1,yes
NV,71,area_code_415,yes,no,0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3,yes
FL,132,area_code_510,no,yes,36,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3,yes
WV,72,area_code_510,no,yes,33,96.6,59,16.42,315.4,98,26.81,163.3,117,7.35,6.2,4,1.67,4,yes
AL,55,area_code_415,yes,no,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,yes
ME,92,area_code_415,yes,no,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,yes
ME,75,area_code_408,yes,no,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,yes
MI,93,area_code_415,yes,no,0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,yes
MO,92,area_code_415,no,no,0,154.0,122,26.18,329.8,88,28.03,288.0,117,12.96,5.6,2,1.51,3,yes
MS,118,area_code_415,no,yes,26,170.8,114,29.04,199.5,125,16.96,169.7,98,7.64,9.6,5,2.59,5,yes
AL,60,area_code_408,yes,yes,29,265.9,113,45.2,215.8,94,18.34,108.1,82,4.86,14.0,12,3.78,0,yes
SC,88,area_code_510,no,no,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,yes
MN,152,area_code_415,yes,yes,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,yes
WI,69,area_code_510,yes,no,0,279.8,90,47.57,248.7,91,21.14,171.0,118,7.69,8.4,10,2.27,2,yes
VT,95,area_code_510,yes,yes,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5,yes
GA,44,area_code_510,no,no,0,288.1,112,48.98,258.0,92,21.93,192.4,90,8.66,10.2,4,2.75,3,yes
MT,74,area_code_408,no,no,0,174.1,96,29.6,251.1,94,21.34,257.6,123,11.59,8.3,5,2.24,2,yes
WV,44,area_code_510,no,no,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,yes
IN,113,area_code_415,no,no,0,209.4,151,35.6,347.3,113,29.52,246.0,116,11.07,7.4,2,2.0,1,yes
SD,104,area_code_510,no,no,0,234.2,128,39.81,293.1,92,24.91,183.9,79,8.28,9.8,6,2.65,0,yes
OK,101,area_code_408,no,no,0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,yes
MO,112,area_code_415,no,no,0,335.5,77,57.04,212.5,109,18.06,265.0,132,11.93,12.7,8,3.43,2,yes
NV,105,area_code_415,yes,yes,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,yes
KS,110,area_code_415,yes,no,0,293.3,79,49.86,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,yes
NJ,95,area_code_408,yes,yes,37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0,yes
MO,79,area_code_408,no,no,0,261.7,97,44.49,210.6,48,17.9,256.7,83,11.55,6.0,3,1.62,3,yes
CA,79,area_code_510,no,no,0,157.6,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5,yes
MT,109,area_code_408,no,no,0,264.7,69,45.0,305.0,120,25.93,197.4,86,8.88,9.5,9,2.57,1,yes
TX,75,area_code_415,yes,no,0,222.4,78,37.81,327.0,111,27.8,208.0,104,9.36,8.7,9,2.35,1,yes
WV,115,area_code_510,yes,no,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,yes
UT,103,area_code_510,no,yes,36,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,yes
WY,94,area_code_510,no,no,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,yes
KY,91,area_code_415,yes,no,0,145.0,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,yes
PA,122,area_code_415,yes,no,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11.0,2,2.97,0,yes
WI,149,area_code_415,yes,yes,28,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5,yes
MA,127,area_code_408,yes,no,0,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1,yes
NJ,24,area_code_408,no,no,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,yes
NV,69,area_code_510,yes,yes,33,271.5,98,46.16,253.4,102,21.54,165.4,85,7.44,8.2,2,2.21,1,yes
VA,68,area_code_408,yes,no,0,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,yes
KY,75,area_code_415,no,no,0,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2,yes
CO,121,area_code_408,yes,no,0,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,yes
SC,87,area_code_408,no,no,0,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,yes
NE,96,area_code_415,no,no,0,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,yes
MA,136,area_code_408,yes,no,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11.0,4,2.97,3,yes
AL,93,area_code_408,no,no,0,267.9,114,45.54,223.0,74,18.96,262.7,90,11.82,11.3,3,3.05,3,yes
LA,109,area_code_415,no,yes,27,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,1,yes
ME,97,area_code_510,no,no,0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,4,yes
CT,23,area_code_510,no,no,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,yes
MD,61,area_code_415,no,no,0,260.0,123,44.2,210.5,127,17.89,234.7,70,10.56,9.0,3,2.43,1,yes
WV,161,area_code_415,no,no,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,yes
MO,179,area_code_510,no,no,0,287.3,123,48.84,288.0,114,24.48,266.0,112,11.97,10.5,4,2.84,0,yes
KY,74,area_code_510,yes,no,0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1,yes
NV,81,area_code_415,no,yes,28,167.9,147,28.54,190.7,105,16.21,193.0,103,8.69,9.2,6,2.48,4,yes
NJ,46,area_code_408,no,no,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2,yes
NJ,48,area_code_510,no,yes,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2,yes
NM,122,area_code_408,no,yes,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,yes
DE,129,area_code_510,no,no,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0,yes
GA,93,area_code_408,no,yes,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,yes
VT,63,area_code_415,no,no,0,278.0,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,yes
NY,64,area_code_415,yes,no,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,yes
KS,110,area_code_415,yes,yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,yes
WY,76,area_code_415,no,no,0,263.4,148,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,1,yes
UT,161,area_code_510,yes,no,0,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,1,yes
VA,99,area_code_415,no,yes,42,216.0,125,36.72,232.3,104,19.75,215.5,100,9.7,9.3,4,2.51,2,yes
CA,112,area_code_415,no,no,0,111.9,92,19.02,114.0,143,9.69,146.8,79,6.61,14.1,3,3.81,5,yes
ME,80,area_code_408,no,no,0,322.3,113,54.79,222.0,95,18.87,162.8,123,7.33,6.7,8,1.81,0,yes
NJ,111,area_code_510,no,no,0,176.9,128,30.07,102.8,56,8.74,213.7,84,9.62,10.5,2,2.84,4,yes
NJ,135,area_code_510,no,yes,28,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2,yes
OH,98,area_code_408,no,no,0,165.0,129,28.05,202.6,113,17.22,172.3,94,7.75,12.5,7,3.38,1,yes
MI,91,area_code_415,no,no,0,154.4,165,26.25,168.3,121,14.31,239.9,81,10.8,11.7,4,3.16,5,yes
NE,159,area_code_415,no,no,0,189.1,105,32.15,246.1,147,20.92,242.0,106,10.89,10.4,5,2.81,1,yes
NV,64,area_code_408,no,no,0,148.1,73,25.18,164.9,101,14.02,216.0,125,9.72,12.3,2,3.32,5,yes
WY,106,area_code_415,yes,yes,26,270.3,111,45.95,215.2,90,18.29,254.0,133,11.43,14.4,7,3.89,1,yes
KS,167,area_code_415,no,no,0,131.6,120,22.37,211.3,96,17.96,168.3,97,7.57,11.1,4,3.0,4,yes
MD,172,area_code_408,no,no,0,287.1,108,48.81,178.4,125,15.16,153.2,98,6.89,14.4,2,3.89,3,yes
MD,88,area_code_415,yes,no,0,235.1,98,39.97,251.8,79,21.4,285.9,76,12.87,7.2,2,1.94,4,yes
NM,119,area_code_415,yes,yes,15,160.0,95,27.2,209.5,110,17.81,82.3,107,3.7,8.7,5,2.35,5,yes
IL,78,area_code_415,yes,no,0,236.8,141,40.26,265.3,101,22.55,152.4,77,6.86,9.5,2,2.57,1,yes
KS,24,area_code_510,no,no,0,243.0,91,41.31,183.9,77,15.63,184.3,109,8.29,15.3,6,4.13,0,yes
TN,108,area_code_510,no,yes,34,162.1,83,27.56,171.8,117,14.6,259.8,76,11.69,9.6,3,2.59,4,yes
MN,62,area_code_510,no,yes,33,186.4,84,31.69,201.0,136,17.09,286.7,103,12.9,11.1,3,3.0,2,yes
MA,40,area_code_408,no,yes,31,224.7,69,38.2,134.5,81,11.43,120.3,104,5.41,7.5,5,2.03,1,yes
MT,28,area_code_415,no,no,0,121.7,48,20.69,125.8,112,10.69,261.6,122,11.77,8.3,2,2.24,6,yes
MI,51,area_code_415,no,no,0,229.7,129,39.05,336.0,104,28.56,192.8,128,8.68,9.6,1,2.59,1,yes
NY,163,area_code_408,no,no,0,247.7,77,42.11,269.5,108,22.91,167.3,82,7.53,9.6,7,2.59,0,yes
NC,58,area_code_510,no,no,0,112.2,95,19.07,209.6,108,17.82,260.9,78,11.74,13.9,1,3.75,0,yes
OR,135,area_code_415,no,no,0,263.8,66,44.85,251.3,116,21.36,200.1,112,9.0,8.4,2,2.27,5,yes
WA,171,area_code_408,no,no,0,270.5,69,45.99,230.0,112,19.55,136.0,111,6.12,9.6,5,2.59,1,yes
TX,82,area_code_415,no,no,0,189.2,81,32.16,184.4,117,15.67,255.8,83,11.51,10.6,5,2.86,3,yes
WA,45,area_code_510,no,no,0,78.6,106,13.36,187.3,110,15.92,184.2,111,8.29,7.4,5,2.0,1,yes
