Feature,Ranking,Support
state,1,True
account_length,1,True
area_code,6,False
international_plan,5,False
voice_mail_plan,1,True
number_vmail_messages,1,True
total_day_minutes,1,True
total_day_calls,1,True
total_eve_minutes,1,True
total_eve_calls,1,True
total_night_minutes,1,True
total_night_calls,1,True
total_intl_minutes,1,True
total_intl_calls,5,False
number_customer_service_calls,1,True
has_voice_mail_messages,5,False
total_call_charges,1,True
total_call_minutes,1,True
average_call_duration,1,True
call_density_day,1,True
call_density_evening,1,True
call_density_night,1,True
call_density_intl,1,True
total_evening_call_charges,1,True
day_night_call_ratio,1,True
call_charges_per_minute,1,True
avg_charges_per_service_call,1,True
call_density_area_code,1,True
average_charges_per_state,1,True
average_minutes_per_area_code,6,False
call_duration_per_vmail_messages,2,False
total_calls_per_service_calls,1,True
total_charges_per_service_calls,1,True
avg_charges_per_service_calls,1,True
calls_minus_vmail_messages,1,True
avg_charges_per_state_area,1,True
avg_minutes_per_state_area,1,True
average_charges_per_account_length,1,True
average_minutes_per_account_length,1,True
total_charges_per_international_plan,8,False
total_calls_per_voice_mail_plan,8,False
total_charges_per_voice_mail_plan,8,False
total_minutes_per_service_calls,1,True
day_charge_ratio,1,True
evening_charge_ratio,1,True
night_charge_ratio,1,True
intl_charge_ratio,1,True
avg_duration_per_day_calls,1,True
avg_duration_per_evening_calls,1,True
avg_duration_per_night_calls,1,True
charges_per_total_calls,1,True
night_calls_ratio,1,True
intl_calls_ratio,1,True
vmail_messages_to_minutes_ratio,4,False
day_evening_minutes_difference,1,True
night_intl_minutes_difference,1,True
minutes_per_charges_per_state,1,True
percentage_international_plan_per_state,7,False
percentage_voice_mail_plan_per_state,7,False
day_evening_minutes_difference_per_state,1,True
charges_per_minutes_per_international_plan,1,True
avg_minutes_per_service_calls_per_state,1,True
minutes_per_charges_per_state_area_code,1,True
charges_per_minutes_per_plan,1,True
avg_charges_per_vmail_messages_per_state,1,True
charges_per_minutes_per_intl_plan_state,1,True
minutes_per_charges_per_vmail_plan,1,True
charges_per_minutes_per_vmail_plan,1,True
minutes_per_charges_per_state_vmail_plan,1,True
day_night_minutes_difference_per_state,1,True
eve_intl_minutes_difference_per_state,1,True
eve_night_charges_ratio,1,True
eve_night_calls_difference,1,True
intl_night_calls_difference,1,True
avg_minutes_per_total_intl_minutes,1,True
eve_night_charges_ratio_per_area_code,3,False
day_night_charges_ratio_per_intl_plan,3,False
eve_night_minutes_difference_per_intl_plan,6,False
day_minutes_calls_ratio,1,True
intl_minutes_calls_ratio,1,True
charge_per_minutes,1,True
day_minutes_percentage,1,True
eve_minutes_percentage,1,True
night_minutes_percentage,1,True
intl_minutes_percentage,1,True
avg_duration_per_intl_calls_squared,1,True
log_avg_duration_per_intl_calls,1,True
log_minutes_per_charge,1,True
minutes_per_intl_calls_squared,1,True
log_minutes_per_intl_calls,1,True
avg_duration_per_evening_calls_squared,1,True
sqrt_avg_duration_per_evening_calls,1,True
inv_avg_charges_per_service_call,1,True
sqrt_account_length,1,True
log_avg_minutes_per_vmail_messages_per_state,1,True
sqrt_avg_call_duration_per_state_area,1,True
avg_call_duration_per_voice_mail_plan_squared,1,True
log_avg_call_duration_per_voice_mail_plan,1,True
avg_call_duration_per_area_code_squared,1,True
inv_total_calls_per_service_calls,1,True
sqrt_evening_calls_ratio,1,True
inv_eve_intl_minutes_ratio_per_state_intl_plan,1,True
total_intl_calls_squared,3,False
sqrt_total_intl_calls,2,False
number_vmail_messages_squared,1,True
inv_day_night_charges_ratio_per_intl_plan,4,False
sqrt_avg_charges_per_intl_calls,1,True
sqrt_total_calls_per_account_length,1,True
charges_service_calls_ratio_squared,1,True
log_charges_per_minutes_per_vmail_plan,1,True
minutes_per_charges_per_vmail_plan_squared,1,True
inv_minutes_per_charges_per_vmail_plan,1,True
avg_call_duration_per_intl_vmail_squared,1,True
log_charges_per_minutes_per_area_code,1,True
average_charges_per_account_length_squared,1,True
inv_minutes_service_calls_ratio,1,True
minutes_per_charges_per_area_code_squared,1,True
sqrt_eve_intl_charges_ratio_per_state_intl_plan,1,True
inv_charges_per_minutes_per_state_vmail_plan,1,True
calls_minus_vmail_messages_squared,1,True
day_minutes_calls_ratio_squared,1,True
call_density_day_squared,2,False
eve_intl_calls_ratio_per_state_intl_plan_squared,1,True
average_charges_per_state_squared,1,True
sqrt_avg_minutes_per_vmail_message,4,False
service_calls_to_minutes_ratio_squared,1,True
sqrt_average_minutes_per_area_code,7,False
minutes_per_charges_per_plan_squared,1,True
charges_per_minutes_per_intl_plan_state_squared,1,True
log_charges_per_minutes_per_intl_plan_state,1,True
sqrt_charges_per_minutes_per_intl_plan_state,1,True
inv_charges_per_minutes_per_intl_plan_state,1,True
