state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_calls,total_minutes,ratio_calls,ratio_minutes,avg_day_minutes,avg_eve_minutes,avg_night_minutes,total_local_charge,ratio_charge
0,107,0,0,0,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,329,611.5,0.00911854103343465,0.02240392477514309,1.5102803738317756,1.8271028037383177,2.377570093457944,55.540000000000006,0.0666186532229024
1,137,0,0,1,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,328,527.2,0.01524390243902439,0.023141122913505306,1.7766423357664234,0.8846715328467154,1.186861313868613,59.00000000000001,0.055762711864406775
0,84,1,1,1,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,248,558.1999999999999,0.028225806451612902,0.011823719097097816,3.564285714285714,0.7369047619047618,2.344047619047619,65.02,0.02737619194094125
2,75,0,1,1,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,356,501.9,0.008426966292134831,0.02012353058378163,2.2226666666666666,1.9773333333333334,2.492,49.36,0.055307941653160456
3,121,2,0,0,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,314,779.3000000000001,0.022292993630573247,0.009624021557808289,1.8033057851239669,2.8801652892561984,1.7570247933884298,76.28,0.02661248033560566
4,147,0,1,1,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,269,471.90000000000003,0.022304832713754646,0.015045560500105953,1.0680272108843538,0.701360544217687,1.4408163265306124,44.980000000000004,0.0426856380613606
5,117,1,0,1,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,267,751.9000000000001,0.0149812734082397,0.011570687591435029,1.5769230769230769,3.005128205128205,1.8444444444444446,70.97,0.033112582781456956
6,141,0,1,0,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,292,807.0,0.017123287671232876,0.013878562577447335,1.8340425531914895,1.574468085106383,2.3148936170212764,77.52,0.03895768833849329
7,65,0,0,1,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,331,566.4000000000001,0.01812688821752266,0.022422316384180786,1.9861538461538462,3.5153846153846153,3.2123076923076925,50.77,0.06755958243056923
8,74,0,0,1,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,369,547.1,0.013550135501355014,0.01663315664412356,2.5364864864864862,2.208108108108108,2.6486486486486487,54.62,0.04503844745514464
9,168,1,0,1,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,295,374.8,0.006779661016949152,0.02988260405549626,0.7666666666666667,0.6244047619047619,0.8398809523809524,37.17,0.08124831853645413
10,95,2,0,1,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,278,596.5,0.017985611510791366,0.020620284995808886,1.6484210526315788,2.606315789473684,2.0242105263157897,56.32,0.05894886363636363
11,161,0,0,1,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,292,811.3000000000001,0.030821917808219176,0.006655984222852213,2.067701863354037,1.973913043478261,0.9975155279503105,90.83000000000001,0.016073984366398765
12,85,1,0,0,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,304,566.5999999999999,0.013157894736842105,0.024355806565478297,2.3105882352941176,3.3047058823529407,1.0505882352941176,61.28999999999999,0.060858215043237074
13,76,2,0,0,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,239,568.2,0.02092050209205021,0.017599436818021823,2.496052631578947,2.8000000000000003,2.180263157894737,57.800000000000004,0.04671280276816609
14,73,0,0,1,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,252,576.7,0.007936507936507936,0.022542049592509102,3.073972602739726,2.184931506849315,2.641095890410959,60.39,0.058122205663189264
15,147,0,0,1,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,343,603.5999999999999,0.011661807580174927,0.017561298873426112,1.0551020408163265,1.6306122448979592,1.4204081632653063,56.14,0.0509440684004275
16,77,1,0,1,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,274,441.9,0.021897810218978103,0.012898845892735914,0.8103896103896103,2.2064935064935067,2.722077922077922,34.48,0.044663573085846876
17,130,0,0,1,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,289,437.70000000000005,0.0657439446366782,0.021704363719442538,1.4076923076923078,0.5607692307692308,1.3984615384615386,45.49,0.056495933172125735
18,111,0,0,1,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,310,437.3,0.01935483870967742,0.01760804939400869,0.9945945945945946,1.236936936936937,1.708108108108108,38.97,0.0533743905568386
13,132,2,0,1,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,273,563.3,0.007326007326007326,0.01828510562755193,0.6143939393939394,1.8575757575757574,1.7954545454545454,45.3,0.06136865342163356
19,57,1,0,0,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,342,586.8,0.008771929824561403,0.016189502385821404,3.736842105263158,3.3526315789473684,3.205263157894737,60.67,0.042360309873083896
10,54,1,0,1,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,241,391.9,0.016597510373443983,0.03750956876754274,2.4870370370370374,2.8796296296296298,1.8907407407407406,40.64,0.09768700787401575
4,20,0,0,1,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,295,629.7,0.020338983050847456,0.010004764173415911,9.5,12.91,9.075,62.42,0.027234860621595643
20,49,2,0,1,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,316,513.0999999999999,0.0031645569620253164,0.021633209900604175,2.4346938775510205,4.389795918367347,3.646938775510204,46.6,0.06437768240343347
21,75,2,0,1,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,310,673.8,0.016129032258064516,0.015286435143959633,3.0146666666666664,2.6866666666666665,3.2826666666666666,66.64999999999999,0.041710427606901725
17,12,1,0,1,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,327,782.2,0.009174311926605505,0.015085655842495525,20.8,21.033333333333335,23.349999999999998,76.49,0.041704798012812135
2,57,1,0,0,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,285,585.3,0.014035087719298246,0.014180762002391939,3.1017543859649126,3.4210526315789473,3.745614035087719,56.25,0.039822222222222224
22,36,1,0,0,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,317,438.1,0.01892744479495268,0.0330974663318877,4.063888888888889,4.513888888888889,3.591666666666667,44.5,0.08808988764044944
3,78,0,0,1,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,288,582.3,0.017361111111111112,0.017173278378842523,1.676923076923077,2.867948717948718,2.920512820512821,51.5,0.05242718446601942
22,136,0,1,0,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,312,493.2,0.019230769230769232,0.02128953771289538,1.499264705882353,1.3794117647058823,0.7477941176470588,55.19,0.051458597572023916
23,98,1,0,1,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,322,480.90000000000003,0.006211180124223602,0.019546683302141817,1.2887755102040817,1.7020408163265308,1.916326530612245,44.099999999999994,0.057596371882086175
24,135,1,1,0,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,270,499.2,0.05555555555555555,0.029246794871794872,1.2822222222222222,1.5103703703703704,0.9051851851851852,52.26,0.07539226942212017
25,34,2,0,1,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,258,718.5,0.015503875968992248,0.013917884481558803,3.6705882352941175,8.299999999999999,9.161764705882353,59.22999999999999,0.045585007597501274
12,160,0,0,1,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,279,429.6,0.014336917562724014,0.021415270018621972,0.53625,1.033125,1.115625,36.67,0.06763021543496045
26,64,2,0,1,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,271,645.1,0.01107011070110701,0.005425515423965277,2.40625,3.528125,4.1453125,57.31,0.016576513697435
27,59,1,0,0,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,305,497.0,0.01639344262295082,0.01710261569416499,2.0491525423728816,3.610169491525424,2.7644067796610168,46.0,0.049999999999999996
28,65,0,0,1,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,360,508.59999999999997,0.013888888888888888,0.025953598112465594,3.250769230769231,2.5015384615384613,2.072307692307692,55.800000000000004,0.06379928315412187
29,142,1,0,1,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,334,563.8,0.014970059880239521,0.013125221709826182,1.3169014084507042,0.9478873239436619,1.7056338028169014,54.129999999999995,0.03694808793644929
19,97,0,0,0,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,272,421.0,0.011029411764705883,0.026128266033254157,1.3731958762886596,2.239175257731959,0.7278350515463917,44.28,0.06707317073170732
9,52,1,0,1,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,291,698.5,0.01718213058419244,0.011166785969935577,3.6903846153846156,5.188461538461539,4.553846153846154,66.21,0.03186829784020541
7,60,1,0,1,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,301,680.7,0.009966777408637873,0.009989716468341412,3.6766666666666667,3.518333333333333,4.15,66.65,0.027606901725431357
13,10,1,0,1,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,235,659.0999999999999,0.02553191489361702,0.017296313154301322,18.61,19.02,28.28,60.540000000000006,0.05087545424512718
