state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
0,107,0,0,0,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1
1,137,0,0,1,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0
0,84,1,1,1,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2
2,75,0,1,1,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3
3,121,2,0,0,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3
4,147,0,1,1,0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0
5,117,1,0,1,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1
6,141,0,1,0,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0
7,65,0,0,1,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4
8,74,0,0,1,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0
9,168,1,0,1,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1
10,95,2,0,1,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3
11,161,0,0,1,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4
12,85,1,0,0,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1
13,76,2,0,0,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1
14,73,0,0,1,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1
15,147,0,0,1,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0
16,77,1,0,1,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5
17,130,0,0,1,0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0
18,111,0,0,1,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2
13,132,2,0,1,0,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,0
19,57,1,0,0,39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0
10,54,1,0,1,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3
4,20,0,0,1,0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0
20,49,2,0,1,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1
21,75,2,0,1,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1
17,12,1,0,1,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1
2,57,1,0,0,25,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,0
22,36,1,0,0,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0
3,78,0,0,1,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1
22,136,0,1,0,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3
23,98,1,0,1,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3
24,135,1,1,0,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0
